,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,bredasdorp,62,ZA,1612651857,73,-34.5322,20.0403,69.8,6.91
1,cherskiy,0,RU,1612651711,80,68.75,161.3,-7.2,4.83
2,benguela,72,AO,1612652002,83,-12.5763,13.4055,73.24,4.27
3,port macquarie,55,AU,1612652125,79,-31.4333,152.9167,81.0,1.99
4,busselton,100,AU,1612651684,97,-33.65,115.3333,57.99,3.0
5,sistranda,20,NO,1612652125,80,63.7256,8.834,23.0,11.5
6,punta arenas,75,CL,1612651804,51,-53.15,-70.9167,57.2,24.16
7,saskylakh,88,RU,1612651892,79,71.9167,114.0833,-37.77,6.93
8,albany,20,US,1612651631,40,42.6001,-73.9662,30.2,13.8
9,hailar,11,CN,1612652024,86,49.2,119.7,-15.48,3.85
10,chuy,0,UY,1612651693,72,-33.6971,-53.4616,69.42,9.84
11,hilo,1,US,1612651864,44,19.7297,-155.09,80.6,6.91
12,dingle,86,PH,1612651855,91,10.9995,122.6711,75.6,8.19
13,clyde river,1,CA,1612652126,84,70.4692,-68.5914,-13.0,2.3
14,rikitea,100,PF,1612652126,69,-23.1203,-134.9692,78.44,10.42
15,port elizabeth,40,ZA,1612651994,83,-33.918,25.5701,68.0,9.22
16,barrow,75,US,1612651582,77,71.2906,-156.7887,-5.8,10.36
17,puck,75,PL,1612652126,85,54.7179,18.4084,21.0,8.05
18,texarkana,90,US,1612651837,93,33.4251,-94.0477,48.2,10.36
19,lubbock,1,US,1612651868,13,33.6001,-101.8338,60.01,13.8
20,ostrovnoy,100,RU,1612651717,91,68.0531,39.5131,9.01,9.15
21,cayenne,90,GF,1612651864,100,4.9333,-52.3333,77.0,3.44
22,pisco,75,PE,1612651812,73,-13.7,-76.2167,75.2,5.75
23,qaanaaq,99,GL,1612651881,86,77.484,-69.3632,9.77,6.98
24,hualmay,86,PE,1612652024,74,-11.0964,-77.6139,72.28,8.86
25,mar del plata,20,AR,1612652003,68,-38.0023,-57.5575,66.2,12.66
26,vaini,75,TO,1612651866,89,-21.2,-175.2,82.4,6.91
27,el retorno,97,CO,1612652127,92,2.3302,-72.6276,76.87,2.64
28,jamestown,1,US,1612651685,45,42.097,-79.2353,21.2,10.36
29,hambantota,97,LK,1612651705,84,6.1241,81.1185,76.62,16.04
30,geraldton,75,AU,1612651864,88,-28.7667,114.6,68.0,23.02
31,hermanus,80,ZA,1612651790,90,-34.4187,19.2345,68.0,4.32
32,ushuaia,40,AR,1612651620,71,-54.8,-68.3,53.6,19.57
33,haimen,40,CN,1612652128,88,23.1935,116.6142,60.8,6.71
34,yellowknife,1,CA,1612651682,61,62.456,-114.3525,-34.01,4.61
35,narsaq,24,GL,1612651799,77,60.9167,-46.05,19.51,2.57
36,chokurdakh,26,RU,1612652129,86,70.6333,147.9167,-24.43,3.69
37,saldanha,1,ZA,1612651791,82,-33.0117,17.9442,66.2,8.05
38,westport,1,US,1612651908,49,41.1415,-73.3579,42.8,13.8
39,abashiri,100,JP,1612652129,80,44.0213,144.2697,19.0,5.99
40,te anau,5,NZ,1612651810,48,-45.4167,167.7167,69.8,2.46
41,tall kayf,0,TR,1612652129,52,37.0833,41.0667,47.19,6.82
42,provideniya,31,RU,1612651877,89,64.3833,-173.3,1.49,3.94
43,shache,92,CN,1612651676,82,38.4167,77.2406,28.15,1.61
44,gazanjyk,100,TM,1612652129,83,39.2446,55.5154,46.67,9.4
45,saint-philippe,40,RE,1612651583,83,-21.3585,55.7679,78.8,4.61
46,lebu,65,CL,1612651703,86,-37.6167,-73.65,60.76,3.11
47,souillac,40,MU,1612651849,78,-20.5167,57.5167,78.8,4.61
48,iquique,0,CL,1612651982,46,-20.2208,-70.1431,75.2,17.27
49,bindi,69,SL,1612652130,17,9.9167,-11.45,79.43,2.15
50,ann arbor,1,US,1612652018,67,42.2776,-83.7409,17.6,13.8
51,nimaparha,0,IN,1612652130,88,20.0667,86.0167,64.4,1.14
52,bluff,3,NZ,1612651795,69,-46.6,168.3333,61.5,2.8
53,the valley,40,AI,1612652131,78,18.217,-63.0578,78.8,11.5
54,maniitsoq,0,GL,1612652005,79,65.4167,-52.9,28.85,21.81
55,kardla,100,EE,1612652131,94,58.9978,22.7492,21.07,5.41
56,el dorado,17,US,1612652131,49,38.7666,-120.5177,62.01,4.16
57,sucua,75,EC,1612652131,83,-2.4667,-78.1667,69.8,5.75
58,ilulissat,8,GL,1612651722,39,69.2167,-51.1,24.8,21.85
59,bomet,51,KE,1612652132,74,-0.7813,35.3416,56.46,2.95
60,mataura,0,NZ,1612651790,53,-46.1927,168.8643,73.74,2.39
61,saint george,1,US,1612651727,21,37.1041,-113.5841,62.01,5.75
62,kavaratti,5,IN,1612651873,60,10.5669,72.642,81.16,10.42
63,zhigansk,96,RU,1612651876,80,66.7697,123.3711,-39.51,12.21
64,okhotsk,24,RU,1612651890,86,59.3833,143.3,-1.7,16.42
65,new norfolk,68,AU,1612651991,61,-42.7826,147.0587,64.0,1.99
66,port alfred,48,ZA,1612651991,90,-33.5906,26.891,68.0,5.99
67,nizhniy kuranakh,94,RU,1612652134,81,58.8353,125.4869,-24.29,1.66
